Symbol,Sector
ADFFOODS,Consumer Defensive
VIDHIING,Basic Materials
KABRAEXTRU,Industrials
BEPL,Basic Materials
RUPA,Consumer Cyclical
NACLIND,Basic Materials
VSSL,Basic Materials
VISHNU,Basic Materials
DWARKESH,Consumer Defensive
DHANI,Financial Services
BANCOINDIA,Consumer Cyclical
KINGFA,Basic Materials
SUBEXLTD,Technology
HINDOILEXP,Energy
RTNPOWER,Utilities
VADILALIND,Consumer Defensive
BBOX,Technology
ORCHPHARMA,Healthcare
PURVA,Real Estate
COSMOFIRST,Consumer Cyclical
IMFA,Basic Materials
SUPRIYA,Healthcare
SAKSOFT,Technology
IIFLSEC,Financial Services
SANGHVIMOV,Industrials
GOKULAGRO,Consumer Defensive
ALEMBICLTD,Real Estate
VENUSPIPES,Basic Materials
SEAMECLTD,Industrials
TNPL,Basic Materials
KPIGREEN,Utilities
BFINVEST,Financial Services
SESHAPAPER,Basic Materials
DHAMPURSUG,Consumer Defensive
ANDHRSUGAR,Basic Materials
KIRIINDUS,Basic Materials
TTKHLTCARE,Healthcare
CARYSIL,Consumer Cyclical
GOCLCORP,Basic Materials
JSWISPL,
STERTOOLS,Industrials
SHALBY,Healthcare
TIDEWATER,Basic Materials
KRSNAA,Healthcare
KRISHANA,Basic Materials
HUHTAMAKI,Consumer Cyclical
BBL,Industrials
SEPC,Industrials
ORISSAMINE,Basic Materials
FILATEX,Consumer Cyclical
THEJO,Industrials
APTECHT,Consumer Defensive
ORIENTHOT,Consumer Cyclical
DCXINDIA,Industrials
FOSECOIND,Basic Materials
GOLDIAM,Consumer Cyclical
SHANKARA,Consumer Cyclical
INSECTICID,Basic Materials
THANGAMAYL,Consumer Cyclical
SHK,Basic Materials
TEXRAIL,Industrials
CANTABIL,Consumer Cyclical
GALLANTT,Basic Materials
HERITGFOOD,Consumer Defensive
KCP,Basic Materials
MOREPENLAB,Healthcare
GATI,Industrials
RAMASTEEL,Basic Materials
HESTERBIO,Healthcare
NRBBEARING,Consumer Cyclical
INDOSTAR,Financial Services
MONTECARLO,Consumer Cyclical
KSL,Basic Materials
KDDL,Consumer Cyclical
TCPLPACK,Consumer Cyclical
MARATHON,Real Estate
ARVSMART,Real Estate
DCW,Basic Materials
DEN,Communication Services
STEELXIND,Basic Materials
EIHAHOTELS,Consumer Cyclical
IGPL,Basic Materials
NITINSPIN,Consumer Cyclical
EXPLEOSOL,Technology
VERANDA,Consumer Defensive
SALASAR,Basic Materials
STYRENIX,Basic Materials
ADORWELD,Industrials
BHAGCHEM,Basic Materials
PCJEWELLER,Consumer Cyclical
GENESYS,Technology
STOVEKRAFT,Consumer Cyclical
RANEHOLDIN,Consumer Cyclical
NDTV,Communication Services
XPROINDIA,Basic Materials
MANORAMA,Consumer Defensive
GRWRHITECH,Basic Materials
HARIOMPIPE,Basic Materials
SANDHAR,Consumer Cyclical
AVTNPL,Basic Materials
IWEL,Industrials
SJS,Consumer Cyclical
EVERESTIND,Industrials
FAIRCHEMOR,Basic Materials
SASKEN,Technology
OAL,Basic Materials
NELCO,Technology
RIIL,Industrials
SOLARA,Healthcare
TAJGVK,Consumer Cyclical
BOMDYEING,Consumer Cyclical
MANGCHEFER,Basic Materials
GOODLUCK,Basic Materials
RPGLIFE,Healthcare
PATELENG,Industrials
SPIC,Basic Materials
INOXGREEN,Utilities
GIPCL,Utilities
UNIVCABLES,Industrials
NSIL,Financial Services
HMT,Industrials
MATRIMONY,Communication Services
MTNL,Communication Services
SDBL,Consumer Defensive
VALIANTORG,Basic Materials
ARMANFIN,Financial Services
REPCOHOME,Financial Services
HERANBA,Basic Materials
BFUTILITIE,Utilities
PRECWIRE,Industrials
AXITA,Consumer Cyclical
GRMOVER,Consumer Defensive
GTPL,Communication Services
IGARASHI,Consumer Cyclical
INFOBEAN,Technology
ALICON,Industrials
THEMISMED,Healthcare
TVTODAY,Communication Services
WHEELS,Consumer Cyclical
RPSGVENT,Technology
RAMCOIND,Industrials
SMLISUZU,Consumer Cyclical
AHL,Financial Services
UNIENTER,Basic Materials
SATIN,Financial Services
KUANTUM,Basic Materials
GANESHBE,Basic Materials
SUVEN,Healthcare
SATIA,Basic Materials
GULPOLY,Basic Materials
UGARSUGAR,Consumer Defensive
MANALIPETC,Basic Materials
PIXTRANS,Industrials
SHRIRAMPPS,Real Estate
RADIANTCMS,Industrials
PNBGILTS,Financial Services
